title,url,material,colors,dimensions,artist
Kruisiging en martelaarschappen van de apostelen in bloemvormig ornament,https://lh4.ggpht.com/4d4PVfOrgF8_k6gRw74GHvRaaNgtYHajjbPfdviXGHfljt0Nbc2Wvsn54KGe4xjV7H-ONLebC7exeADO_Ok1wWYV_A=s0,papier,[],203 x 118,anoniem
Twee scènes uit de komedie Andria van Terentius,https://lh4.ggpht.com/JIrEvoBB-IrMbTTW871arAQs330kcLX1NA7Cxs8ahYp_vnTTS0peq9RII7Tgus0e_ZVhIlWY2fB7H7pzF9dUbIwQxQ=s0,papier,[],132 x 198,Bernard Picart
"Tentoonstelling ""Kwab""",,papier,[],132 x 198,anoniem
De kleederen der Nederlanden / Verschillen veel in iedre stand [(...)],https://lh4.ggpht.com/wnBOwOWHPjkeqAwIl_ADtJAOqM4SBiVXIwVaCk-r2TPUU6tttoorWfDCCjbc9S4GIEA_x-bsseA-ryx76peHwWzRGbqu=s0,papier,[],392 x 335,Philippus Jacobus Brepols
Fluitspeler in een landschap,https://lh3.googleusercontent.com/1CfLyEtlbyx83hlqwbEkQU6azGVfeT3QN-xE8eL2_G6Riwn3wiuK0OYLLqiIdAf8d7Oj0HmUDwikHnHZ6XrTtRz88_k=s0,papier,[],206 x 156,anoniem
Twee figuren bij een ruïne van een huis,https://lh5.ggpht.com/0VsG3rMiC7pAeWc4R6OZvXQA1dkR_miRHMyxvvDDkyTfZkkOgCOBhnEmU-VoCdb_Nc4b3jkSiuciML-w9wZVhUaVKus=s0,papier,[],96 x 160,Jan van de Velde (II)
Fotoreproducties van twee tekeningen voor decoratieve friezen voor wandschilderingen voor het trappenhuis van het Neues Museum in Berlijn,https://lh3.googleusercontent.com/3o-kcOZQ4Eq_nrEkWeNvzefnalolyio1gABrwbuSGQCIsnlE00vKwa_d4vHSwYaKMCs39_XPKN6cOqjhkdZnu5M5ct6BInH2fNaHdqzU=s0,fotodrager,[],250 x 325,Gustav Schauer
Portret van Emilie van Kerckhoff,https://lh3.googleusercontent.com/JQjAOocHnX1MZDXWaP9U5DJxcz8jimcIqPXLQMeMiGJZqUBQvLqN4xeStc42ADeRWHuhh8Q9gx2meuGmOV0JEcYIV-Q=s0,papier,[],603 x 467,Jan Veth
Boomrijk rivierlandschap met enkele gebouwen,https://lh3.googleusercontent.com/wU66MF9l6J0RPI81VEMxGjv4-LvNcwZj2NS0hdX-MplI252j7FmA7WTndSzyLOGppCBZICgeeUyB5ifijAQWt-8Viw=s0,papier,[],321 x 440,anoniem
Vrouw in de klederdracht van Zaandam,https://lh3.googleusercontent.com/BBUzqkczrZ_PlBASPSTcjxH3cVWzXRLaQFRSt1IxXQGa6IqcUotZK7dsCg67D1ArbVhiniQqjhRuhatdQNgJBAInxY5lGOVzhQIG06gaAg=s0,papier,[],85 x 52,anoniem
Elkaar omarmend paar en een zittende man onder een boom,https://lh3.googleusercontent.com/EX8PflXVaMnkiaFVQC7b4Xi-NLmkvVyEKAcrSzJimqVbw88go8lV4BSJanNvVUvHVZuUg5k3O1rP_0vabW5Rs_sD-g=s0,papier,[],85 x 52,Charles Rochussen
Portret van Reinier Adriaensz. Pauw,https://lh3.googleusercontent.com/eElBbHXIkFab8C9K6qJR6GkQhst1kOBch2ijpUVDvvd_zwYejfch3aDjImymlYJ1hecs580L554cPpQ79i5Ax0LpxXgTrskKYjN6hKE=s0,papier,[],181 x 120,Jacob Houbraken
Piëta,https://lh3.googleusercontent.com/VHTDL-Z3Pdrk31xirFeGt8tdmIIRv2EnSCWQNNOt5SHiI5eedP10Uk5x-cKaluibyNOOwpAqPkZw4KoiRVIxYTvGwsBMZIWrmXJg3_Id=s0,papier,[],263 x 275,William Unger
Huizen en schepen langs een rivier,https://lh6.ggpht.com/nwV8qtFd-cWPaNnMDD4fvOnV5Rae_kCx_EnLRL_AH9ZygsO5JqK7Ss63FELvEvd48VL0kafOKdJmDoltDevABDSaSg=s0,papier,[],215 x 280,anoniem
Jardinière met boeketten en bloemtakken,,porselein,[],"19,5 x 18,0",Kaiserliche Porzellanmanufaktur
Man die een paard bestijgt met behulp van stijgbeugels,https://lh3.googleusercontent.com/WIy-eV0Ic8f5jxi6F52QcYHJR4a9a0QVROgbCfFd25u7l6AvnmcwyDh5BaSja2w07sVS-daFi5gA4qhQuUY5uNFkHd2NvT98ly2lwdH8=s0,papier,[],98 x 137,anoniem
Regenbuien boven een weidelandschap met boerin en koe,https://lh3.googleusercontent.com/U_Zgvj6YcZFIhhrbUsIZzLRnL8G69A3_mFuKKDwV0P24d8qkXe8LEs73_jePygbFHcoVa9pGTYzqs_c8El_6pF3bDrRh-oMW1fggZNxB=s0,papier,[],320 x 433,Albert Delstanche
Portret van Louis Paulhan op zijn Voisin-vliegtuig,https://lh3.googleusercontent.com/Kmu_VgH9sclX77qdjw1Rgr-B-WkmzFMdnHRTzjYIGXDnT90cQOMV_W_Ad3WlxkaAtDKcGTTOhS7BYDL1MlsK9Inhd2E=s0,fotodrager,[],138 x 90,Fr. Rose
Armband met religieuze scènes (Benedictus van Nursia en Het onderwijs aan Maria),https://lh4.ggpht.com/hJnd4iLNVFBBjmrCwcDRVO7H3Q1vWMc_c7YlbGME6V9-5cgaj9jT4ZYFl_GymmwOzYKtIK1LCxxTu7h5HgzAd0QLbTw=s0,email,"[{'percentage': 95, 'hex': '#E0CC91'}, {'percentage': 1, 'hex': ' #981313'}, {'percentage': 1, 'hex': ' #2F4F4F'}, {'percentage': 1, 'hex': ' #000000'}, {'percentage': 0, 'hex': ' #F6ECF3'}]","18,0 x 3,0",David da Costa Dias
Deksel van een bokaal,https://lh3.googleusercontent.com/aZnOf7lVAsj-iaX1YoeRWh4zN2ho5sIPXnnEzO9Ug47cRs8JO-ERFkQlvR0KlSMnr5RE1b3GqwQcKd2pCuOXwFVxLryRlN6fFR--e5mg=s0,glas,[],"9,2 x 9,6",anoniem
Exterieur van de Notre-Dame in Parijs,https://lh3.googleusercontent.com/CMKZSfp2afa_qt3XO7UHkRMWQLnHmee9AnZQtj6Xn_NZew3kZct1r9LViSeyIesE7_8KlCEuCrWG5pqOK7CkpULDLW2FcfKrkF_wRktN-w=s0,papier,[],104 x 63,anoniem
Inval in Nederland,https://lh3.googleusercontent.com/AjFh7DwYB3ChuTYs9h02qVGlp6k__SLYd1iPMrrAmL-TQcW75mDjiYYi3-jIW8__XQEqrDgSOpe5_kfds5Ou8gONYD577pNgakbKYSQ=s0,fotodrager,[],50 x 50,anoniem
Bezoeker bij de glas-in-lood ramen ontworpen door Irma Boom met de namen van enkele sponsoren,https://lh4.ggpht.com/eDrnkEC7yVuXfI0NNW0Hoh_CiCKPxYg8bEFjAVKq3h1pjsM_-yESfSj9845D4CgYJQ-N5NetGVtvLM97Dg41hZufWA=s0,fotodrager,[],50 x 50,anoniem
Portret van een jongeman,https://lh3.googleusercontent.com/POFnriBGFkjkvUkLvfxO_zb1zqERIjz9_doMGsSdeswrXSwf1c8sI-DMA3WzL9JejAbXfXpJ8NsyElJsIoTW3v_AFF5_Xj1GpzRPmrU=s0,fotodrager,[],104 x 64,Lowthian Bros
Bellawi ragini,https://lh4.ggpht.com/HAHRVopGwoP2fx_3qwcq5LQzwRYxaFlXrnAwVUNmSFTx-ad4NSqCrJBpS3CMUCtu-mE6a6P3B_OaF7xpVsouzzC5N6E=s0,papier,[],208 x 131,anoniem
Geometria,https://lh3.ggpht.com/ZHlZ09c_Oj49oA8M9alea4oLoS8IOJPu6vpb_onk9Ko3KBv8FeaRQlvgJzjy8mS3lE0Dv_W0rVn0LFBTOl2VIT8pVQ=s0,papier,"[{'percentage': 68, 'hex': '#FBF6E1'}, {'percentage': 13, 'hex': ' #737C84'}, {'percentage': 13, 'hex': ' #E0CC91'}, {'percentage': 4, 'hex': ' #2F4F4F'}, {'percentage': 1, 'hex': ' #000000'}]",300 x 202,Hieronymus Cock
Groepsportret van de commissie en werknemers van het Russische deel van de Wereldtentoonstelling van 1885 in Antwerpen,https://lh3.googleusercontent.com/NadllWtrLK1i9u3ronwkuJjGIaeMyHCs_n928XwCUkK7TFaOtMvjv_q0ZwifDb63nMZ5B013eEOENrq4iyThGThyuynCQWLQK2q4deE=s0,papier,[],280 x 210,anoniem
Halfronde tafel,https://lh3.googleusercontent.com/cT_jJAFDXPmG7oPwlty1v1vvHa_NSNwvp1ZwkthURpE5LwklBlE4s01jFRZmfVyFboWD-tI4CZG2_dDtX4wnXmXgGA=s0,papier,[],321 x 202,Augustin Foin
Koning Midas met ezelsoren,https://lh3.googleusercontent.com/hRkiBB94Zq5lIJZylBB2paxM1RgytpD_2mMxE_3vdlw5sVj89OQr5rcbjn7KCnXddp3KFgKE6wCU2mps6fz69GWGBZc53SWAOLFoIn_zHQ=s0,papier,[],46 x 44,Caspar Merian
"Art - Goût - Beauté, Feuillets de l' élégance féminine, Mars 1929, No. 103, 9e Année, p. 3",https://lh3.googleusercontent.com/rIeVJVozNaQD_Z6zIRBu9bl8Hs6KpkR3a2z084okUbmtWbQ1S-7r8Ge41sYXyIkrly_FeEoDIy7lDijqGNSyBp80809s=s0,papier,[],315 x 240,Charles Goy
Hovenier,https://lh3.ggpht.com/FXBOaFKJRX3fJs9Jj4vxlBSOgfaWW6GHINTa_9IaRu62tsAnRSITCY7jM9CiJYU02ccEMnwcilSpuQu7rCvcl0_L0yY=s0,papier,[],140 x 80,Jan Luyken
Kandelaar,https://lh3.ggpht.com/WiJOco5f1LUl9mtjEdwfAnR9HCrTxLjXfAtrZFjcKxApZstQBpErNNMoIaJnbcvbCrrqboLX28spO4Ts7rszwVll5w=s0,zilver,"[{'percentage': 54, 'hex': '#2F4F4F'}, {'percentage': 26, 'hex': ' #737C84'}, {'percentage': 16, 'hex': ' #B5BFCC'}, {'percentage': 1, 'hex': ' #FBF6E1'}, {'percentage': 0, 'hex': ' #000000'}]","26,5 x 14,1",Cornelis Knuysting
Hond op erf,https://lh5.ggpht.com/QoW_KLWc_zJZG0R8u874XthB2sarycvJmMGNeE_MJG8wmhRiAp2nX3uq0GD890rV7TpItqf6NRO9U6lR0e8swnBAkpM=s0,papier,[],111 x 125,Gerardus Emaus de Micault
Zittende muzikanten bespelen blaasinstrumenten in een zaal met vitrines terwijl publiek toekijkt,https://lh5.ggpht.com/EMSidCysa4RvCrQy32wEsqRd4rhS9DBaZYRebzvuiONTy1giNhg42LzKTVt-bWS8O2nqF-Wyr9uAlwcCE2WLBGFAGZc=s0,papier,[],111 x 125,anoniem
Portret van Robert Jasper van der Capellen,https://lh6.ggpht.com/YsvXsujq5P9pJ-U26DWaHA3swhO7FnhUUP4fVloPvB4KZtYfUS4GVZs8x0r8Rs6r1OZyRwn3p17089ePQkKuMoOLBpE=s0,papier,[],183 x 130,Reinier Vinkeles (I)
"Vijf Moren uit Granada , gekleed volgens de mode van ca. 1580",https://lh3.googleusercontent.com/W4KQOeVA2qY1Lz65AEn6hw9O8Ew9ZMvJoGsotzQZuq08BiTQNH9JUPk2LMNSSGzntK8AIG-PiQn5I_uL5ur6hgf_Vlg=s0,papier,[],183 x 130,Bartolomeo Grassi
Portret van Samuel Barovius,https://lh4.ggpht.com/1ZQqdEKMR0i5VywBPhl-a8aopBZUSGcrsV6gP3Fgf0KtDgMNgT3tX-TOFLq3hPejCXHJtXg5nxk5WR7BWdoUg8HbQQ=s0,papier,[],309 x 217,Pieter Tanjé
"Balthasar Gerards voor Maurits gebracht, 1584",https://lh3.ggpht.com/sjYLgjNovj_8c8HJhXvNCnmIYAGfQasV8ISG-R3vqHotK1RV7Xmrm6zqZO90qc1gOiCUQxr_BbW9yvLbwKN9c0f1Fw=s0,papier,[],319 x 431,J.B. Clermans
Embleem: bijen,https://lh6.ggpht.com/-qAPxTd4mFdFEJRkqLRrRyRxTncU3NjTri0PEkMRJYJzge9dNKQ-iiauktT_MEs91KJ4bRjzNwu1NTKKLENMxZkoqfg=s0,papier,[],110 x 124,Jan Luyken
Rembrandt Theater,https://lh3.googleusercontent.com/vSYFg_30rtGjuE0YDGw-XWXrEssqXIpU7c95odl0OOSlblR8Qjl8EkmnWCjRz4ptLwXm0I8e9dditukg8a8TQNGbsQk=s0,fotodrager,[],130 x 98,anoniem
Menigte biedt Napoleon een lauwerkrans aan,https://lh5.ggpht.com/cZw6bkfHg4clBn_x3QCR5M9PqYWtXKmGNq695JBZxKWiYrKxcPbtJgBt_Z1I_VbTIKlNd2v03WYwhWMhLuRkFPtnjIXS=s0,papier,"[{'percentage': 86, 'hex': '#FBF6E1'}, {'percentage': 10, 'hex': ' #B5BFCC'}, {'percentage': 2, 'hex': ' #737C84'}]",332 x 382,Teodoro Matteini
Perseus en Andromeda,https://lh3.googleusercontent.com/23YFASuzFIU2eEe4M8WFrUddPS7yUTA7f64GnOWmGyY0Kq2OFGfiCBO4cznJO2LQcTrDYL5oPxI8YAHBdaeB-F0sL7Q=s0,papier,[],439 x 505,anoniem
Liervogel behang,,papier,[],439 x 505,Carel Adolph Lion Cachet
Portret van de Franse politicus Jean-Baptiste Carrier,https://lh5.ggpht.com/-q11jIWDHodIyz43hNJyfLMQDVje0EVZ6JCR_t-_X2kM_8ojY9K0A27Rzac61VLeP5kVa5rvCbL4FqG6Jjfs0OPrMJkZ=s0,papier,[],183 x 112,Ludwig Gottlieb Portman
"Aanvang van het jaar 1746, op de hoop op vrede",https://lh3.googleusercontent.com/nU1F4pGL4EoBtCm5-9M57_WvPQqAG4FcckMMEQkAor0r3itLFWSfmGDzFJO8LlfyptP7vLHkvbN4TlX5NAp0l5cLIp1Znw-61q84GBc=s0,zilver,[],"2,7 x 7,35",Nicolaas van Swinderen
Stoftheebus met een bruin gevlekt glazuur,https://lh3.googleusercontent.com/ycxJWj_CFYEv3zcWw0fQkc8UlDtQ9mcdFztmG-9THCl3_ctvyYlkKaYO54sfdbeTd6bhx3mlrnrIMBcyy_uf8mLAcA=s0,steengoed,"[{'percentage': 76, 'hex': '#FBF6E1'}, {'percentage': 10, 'hex': ' #000000'}, {'percentage': 7, 'hex': ' #737C84'}, {'percentage': 5, 'hex': ' #B5BFCC'}]","8,2 x 7,3",anoniem
Opiumsmokkel in blikjes fruit,,karton,[],300 x 400,anoniem
Triomftocht van Bacchus en Silenus: het element aarde,https://lh5.ggpht.com/bNAfjjFOyTwvFgz0mxwzXPhymabZWC87pJnqurE0OzdHsN8UJ3q4KlHdXxFMuOecYQuwvDgugIKKhpRrdFdI9YP3d5l-=s0,papier,[],102 x 132,Abraham van den Hecken
Neptunus op zijn wagen,https://lh3.googleusercontent.com/BuQvRXcqcOi6GToHDoRO_eoGU0guZDCxFtBwhwYPw-MInISrPCGqaCJG19396rP46YxHvpgQLjCFlawY-CRfynDcD-o=s0,papier,[],121 x 91,anoniem
"Zeeslag bij Livorno, 1653",https://lh3.ggpht.com/fSYk6eOAqWVVaAQnU3sSyJ-aSA6J5VyVrNOKTeRtCf1YENnsLGY-L1UXj-YOqkQMHe7Bf8VDsSX3Hk169Lt_ZIYAfYc=s0,papier,"[{'percentage': 42, 'hex': '#FBF6E1'}, {'percentage': 35, 'hex': ' #737C84'}, {'percentage': 18, 'hex': ' #E0CC91'}, {'percentage': 4, 'hex': ' #2F4F4F'}]",162 x 272,Bastiaen Stopendael
Dorp aan het water aan de voet van een heuvel,https://lh3.googleusercontent.com/cqvXaVDSDXiWWa6sbGE3mfH9buIaJ9O3_4aLyqdR0-Xuk8bDuAV_bDibLj5VV1kf1co6HcGJPLlulZq_E_IwUTMA6Yc=s0,papier,[],296 x 463,Théophile de Bock
"Doop van Filips van Frankrijk, hertog van Orléans",https://lh3.googleusercontent.com/BvLkLpbOcXNx8nl5R7TDqgnoxlwvvX1c4D3lQoMKxJgm0ol7fc_vr3SCJNOY46fHI9gsGdASyv7aWbCIA6v0wENqQ18=s0,papier,[],222 x 280,Carel Christiaan Antony Last
Gezicht op Bouillon en op de Semois,,papier,[],115 x 171,Raphaël baron de Selys-Longchamps
La multitude emplissait d'une allégresse grave les rues,https://lh3.googleusercontent.com/q4Dea8EHh20N_U1_N8j_mfjPPDXsmgYOVzPpwvTxAzsqq5QfQQkinA51lqSXJiSe1PNw5qcvNXPAUqmOqF7Xt9vI6oE=s0,papier,[],281 x 222,Marius Bauer
Boerderij onder bomen,https://lh5.ggpht.com/uDTbu0Mo5uzXBxKMkFAjpTaC7nrDmnDMS2efN1hSf48YQNaPh5WEmdSXXRNKa9J9w3cIkbdRwqdvUbULaTffnUJ5HuI=s0,papier,"[{'percentage': 58, 'hex': '#FBF6E1'}, {'percentage': 37, 'hex': ' #E0CC91'}, {'percentage': 3, 'hex': ' #737C84'}]",140 x 188,Pieter de Molijn
"Gezicht op de Markusturm, te Rothenburg ob der Tauber",https://lh3.googleusercontent.com/AT9is3KpVTr-aPsVTJV14RcxjP5FXnyJ0sq_FX-Lh7QswHGDdw4_a6NKCQ8vD18tVQAf3gcEk2QIKPVEBd4z3rJ_T0GiplVuKaL2fR9r=s0,papier,[],78 x 120,Willi Foerster
Portret van Jeronimo de Vries,https://lh3.ggpht.com/XV7T6NLJ-ahGnkH-bLzyCwHdEospGzEa4Umgi-53V6qLYpbuXBjPGaFXO3LNaSWYp-yt9LnHv_oBxL6QKgCfQnY1KRo=s0,papier,"[{'percentage': 67, 'hex': '#F6ECF3'}, {'percentage': 24, 'hex': ' #737C84'}, {'percentage': 4, 'hex': ' #B5BFCC'}, {'percentage': 3, 'hex': ' #2F4F4F'}]",290 x 244,Edouard Taurel
Vereniging van Engeland en Schotland,https://lh3.googleusercontent.com/3rHNaxXwBTCIyvc9gkb7UeNRIo2p7KsWuI888UhPsPKOSsDD4kCLOg_qBQ2gqz8acg4YdNYMktLAY-_eq3VfwN8tc3Nh0UwG4yUI2IF0eA=s0,zilver,[],"3,5 x 15,10",John Croker
Mensen en dieren,https://lh6.ggpht.com/7p4yDYXNiUEvquFoo-WRr7SnH_vBGVwuJhWXCBf6AGrJV-yWhFdtvhd2ksWbHXhBIUsM86Jpuz3_uzia3yW5jS8kuvU=s0,papier,[],311 x 393,Lutkie & Cranenburg
"Bord, veelkleurig beschilderd: op het plat een landschap met huizen en ophaalbrug; rand met in vijf vakken een gestileerde bloem.",https://lh5.ggpht.com/S0b_LBtQo3gNCmvhsRmb7t5XZCacI_hKpf7eoQtp76CGFXVjxJeOpHffXjgbiTNWJ4b66nGI47IwflM2YwWsH-m2mW8=s0,aardewerk,[],"26,0 x 4,5",anoniem
Zwaardstootplaat,https://lh3.ggpht.com/89JHGjsmF2-q84m4sxD_0kUfb14rDG5XnOdownji12bY2YvLP8UPqfcAtM6rmKZXemdfZ0BHRXE98Cv-sn20cu8Y1PdA=s0,ijzer,[],"7,1 x 6,7",Soten
"Fotoreproductie van een prent naar een schilderij door Johann Heinrich Füssli, voorstellend een scene uit Een Midzomernachtdroom door William Shakespeare",https://lh3.googleusercontent.com/LLdrbSj3WkVtVF6A_BniMsCi3WApBbC0Uc5IAfo5xDY2R4DCS-dugBng2xtbkxrPBVxhxS4GZzohu-gPEYLicibwnw=s0,fotodrager,[],75 x 99,Stephen Ayling
Twee gezichten op Kortgene,https://lh3.googleusercontent.com/LqXvcEwUBE1K7OHuS9sx3497YvN9mEV1AK9CZCDx_x2_4vsMdLXN7H3MUdexaL5zMfZLSCMaxTNFyRYOg6edl73zSnl9=s0,papier,[],270 x 338,anoniem
Servet van linnen met pellenpatroon,https://lh3.googleusercontent.com/7vXNDZoHeocQ4HVlsT2nNjYYOqpicRvQFvaNbEyyxInnN2x6frUBxa16T-eKRhbp0VWe9A0D_3rIq-nWc7pzchfvvbHzxi1leJBEmIU=s0,linnen,[],112 x 92,
Zaal 372 in de Druckeruitbouw met een opstelling van de Haagse School in 1928,https://lh6.ggpht.com/EMOTl17R5vrCcrXyaWxRoaBzJ3atAGVXx8Y438Baqh-ZFudQ5-GXaJ7haEIH5idNo9KxyrSywfpZVwmKkj6KK85DnA=s0,linnen,[],112 x 92,anoniem
"Graaf Willem Lodewijk van Nassau verovert Huis-te-Wedde, 1593",https://lh5.ggpht.com/ZTlJ94-EeJhy63QATjTellL7n0S-DGDIxhL01aw-9px6MF29L0f7g1IJ78mNaIqTfnlhBTGuivvFFaD7tBfqB_rH1TM=s0,papier,"[{'percentage': 43, 'hex': '#FBF6E1'}, {'percentage': 29, 'hex': ' #B5BFCC'}, {'percentage': 25, 'hex': ' #737C84'}, {'percentage': 0, 'hex': ' #2F4F4F'}]",134 x 158,Simon Frisius
"Passement- en lintwerkersgilde van Amsterdam, gildepenning van Steven Rouson",https://lh3.googleusercontent.com/sPAcLAbSCObPcDX2QJgkd33oUhkaw8XXtfwdaSyjh-c1Ahcw821AbohkdmQ5r5cc_A43gGC8jSfbvEmYz5VnE9Zy4WPU-eNSTp74vhY=s0,messing,[],"3,4 x 143",anoniem
Twee slapende mannen en een ezel,https://lh3.googleusercontent.com/X51aWI-OVXB7KfhooEGhqhMHtGfHrZIlGjH0J-tA7Hk2kFY6x6LDI1DJZgXvft6qW8pT3B5HaVvCINWd-bM5xmqEau9X9sQXchluPNQxhg=s0,papier,"[{'percentage': 43, 'hex': '#FBF6E1'}, {'percentage': 33, 'hex': ' #737C84'}, {'percentage': 17, 'hex': ' #2F4F4F'}, {'percentage': 4, 'hex': ' #000000'}]",44 x 144,anoniem
Omkaderde Franse tekst met olijftakken en twee allegorische figuren,https://lh3.googleusercontent.com/C4aWgdkxinHkzmsaDeCNRk9Najk5m6Tfon6oIffneWeb5Ezla9YrsMzM3cb6N_Qw6NkVXwumSlKkctIEIfRLGRpWTdQ=s0,papier,[],314 x 242,Jean-Baptiste Tilliard
Theeketel van zilver met gegraveerde wapen van de familie Beaumont,https://lh3.googleusercontent.com/QzHaUxzvj8w2bk-zDZKo3nJS3gmp3qUlIPlzuTHUCJApso8rFR39vbU568xwuQNCLdlP-OjQ2a_g_SnR5nbXNwzkfbwY=s0,zilver,[],"9 x 12,5",Gerardus Cornelii
Man met een bierkan en een roker,https://lh6.ggpht.com/U9SQ3ITQs1EYL42leCDSPGqB9G6bINlEAr35sYNQQgJKhc9T0OczwjiuLV95bGWRkParD-J4RlqN_WcyH786RTya2wQ=s0,papier,[],140 x 115,Marcellus Laroon
De afdeling geschiedenis ter zee omstreeks 1935,https://lh4.ggpht.com/1J_4lb1klTyJ1FCE5rSu2rEjysxoTbGxjwfk7Nj3eolZye9tyfPAh4zEwjHQAHMCYSKc55VMUQ19P-PjeqxsFVejYw=s0,PE-papier,[],230 x 285,anoniem
Ex libris van William Craibe Angus,,papier,[],66 x 56,anoniem
Judit onthoofdt Holofernes,https://lh3.ggpht.com/A-ThRzPR63eBGTNGcwcVY5RReqR44nkKv0SsB1JfeA-zAPw2qkk5s8WqoBzwaQMOo75SZyLT5PHXZyoEV4fE2kdmc4A=s0,papier,[],650 x 380,Cornelis Galle (I)
"Portret van Dagobert II, koning van Frankrijk",https://lh3.googleusercontent.com/OI-fZyQJ0GuDxSPD2ZBeSHzn7vJIokBuZaXFS50u2Uw-M3AU9hJSMXrnarjOBYG9iNNsD8qNOngLquO2SSfyzN5TH8KCRpZhkmgDvRQ=s0,papier,[],159 x 116,anoniem
"Portret van Stanisław Ciołek, Graf Poniatowski",,papier,[],146 x 92,Johann Christoph Sysang
Ontwerpschets van een tuin met gebouwen,https://lh4.ggpht.com/ewYw5j65_uiv1S3sTyJzjSUZ_4JHkg0pTuy1o9YqztgI8IaunCjDkz8sS8DWzNF3olR6nQGu4lJsJ32CrnFx-plu0lQ=s0,papier,[],327 x 210,Dionys van Nijmegen
Twaalf voorstellingen uit le Mariage de Figaro van Beaumarchais,https://lh3.googleusercontent.com/5wv47kE5HG643OzFCYgAak-No9h_dkkgSL4237DR6WjVQh1hbdlgV2B74nBq3QDGSeIZ-RTDqpbjEnJc0P0Amu4U_2s=s0,papier,[],216 x 400,Daniel Nikolaus Chodowiecki
Gezicht op het Piazza della Cisterna in San Gimignano,,papier,[],261 x 180,Albany E. Howarth
Portret van wiskundige Jacopo Francesco Riccati,https://lh3.googleusercontent.com/98ljRrdAuK1G-sDJPXAImR1FrM54ZVusna5RgSrrvoe4RCxGu5GFEhmSQ-qbncBfpzYp2bCwfspJaMHg7lhzx43EKQ=s0,papier,[],225 x 175,Innocente Alessandri
Fotoreproductie van de gravure Simone,https://lh3.googleusercontent.com/PdRhiop6WRdYWr7mvl774yWaU5zfJDaSmHTb4Nby3SLFp_fUMg5SB0_0UV1wRpBYLqCgLXFqX8M1GtFjVOjU6dtThGqbi81peBNZYMNcUw=s0,papier,[],76 x 51,Collin
Bomen aan een plas met een bootje,https://lh4.ggpht.com/0m2V1MZsZE-42YMTGxRR_3bobSvAvhfJxOO35aKiUZM20oUkF3vppu-4GIDqGwlRxf0PKK4GbBfrlpBKgxikGw1i2PpZ=s0,papier,"[{'percentage': 48, 'hex': '#FBF6E1'}, {'percentage': 26, 'hex': ' #737C84'}, {'percentage': 18, 'hex': ' #2F4F4F'}, {'percentage': 6, 'hex': ' #000000'}]",134 x 185,Remigius Adrianus Haanen
Fragment oosterse textiel,https://lh3.googleusercontent.com/OkGPpcniiQcXq05yWe6hr9PdHnWCeC21djlzcFOZI1fT5gMUCH2-PCEVkUNnNJrCu8x1XNsD-A4_0GMP73g1qEoXqXTr=s0,zijde,[],"38 x 11,5",
Mannen en vrouwen in zestiende-eeuwse dracht,https://lh3.googleusercontent.com/9JHkjOuuIH-DnNB5vW9sghqGlevYj_BZObOO5HgXi6_W2e7iSHBmE24p9Sn0CPEDdy11rzxFD_U3cQXMgUTWxF9wCk0=s0,papier,[],"38 x 11,5",Reinier Craeyvanger
Uit het kinderleven,https://lh3.googleusercontent.com/WRRE8v_CT2sgvf24pOJRHAj3DReq3dEuepdjOkFdIWvDSoYvSZHyUqIMifoOJPBY84OA3_4fKknD7QY1YWXRxiYSyBY=s0,papier,[],427 x 346,H.M. van Dorp
"Doop van Juliana, koningin der Nederlanden, in de Willemskerk te Den Haag op 5 juni 1909",https://lh3.ggpht.com/k6X-t__klV0uwhW71AD_IZrN_zKI6f7ey7cgddFCy84SKBbP8W3YADwaYAbcOuf-aP3Y5q0IndBaVfFfZeUBkrAKyveN=s0,papier,[],139 x 89,anoniem
Twee kroonelementen voor portieken,https://lh3.ggpht.com/q31jK3_l6rm-FXrGrYyhCo76G_X6E-q0PNYM3NaY6o3AfShVpmqzg1b26RaqCpsDuhqwh3fgarEZm9YweUWakhAu2G0=s0,papier,[],312 x 221,Crispijn van de Passe (II)
Schouw en boekenkasten,,papier,[],222 x 359,Pierre Claude Delagardette
Gezicht op de haven van Amsterdam,https://lh3.ggpht.com/Sic_3McR1lFtJwmRGM7oeE6lILji-VId7H5q2Jfcg2zsFJoO8YKKASEmbWFIwTDrIJmrhdxUkJkSzj68znharsnto2g=s0,papier,"[{'percentage': 93, 'hex': '#E0CC91'}, {'percentage': 3, 'hex': ' #737C84'}, {'percentage': 1, 'hex': ' #2F4F4F'}, {'percentage': 1, 'hex': ' #FBF6E1'}]",228 x 148,Johan Conrad Greive
Annotatie,https://lh3.googleusercontent.com/7iCozAGN1fjHme_ghsbqABpxWa10sQeNDjKH0bxvay8jk8252ic3Mqw3cGOMXq-Z0oajE2dxK5D-YrgzjXnaSbyvs-c=s0,papier,[],228 x 148,Isaac Israels
Servet van linnen met pellenpatroon,https://lh3.googleusercontent.com/bJKWEmlWziczlObcB8chbXbXVYakPi88SBfhqimLiKxjB3b6WYvb6AYB8e2HYlGlTNnvrt5CQ9d-4ao6u_0BTHfvFnPEDKlD-zZEa2pj=s0,linnen,[],"117,5 x 108,53",
Ontwerp voor plafondschildering,,papier,[],171 x 226,Jacob de Wit
